dataset,display_label,time_hours,per_hypha_length
Mn_deficient,MDM,0,0
Mn_deficient,MDM,0.267272727,5.49503095
Mn_deficient,MDM,0.534545455,13.79656498
Mn_deficient,MDM,0.801818182,13.63642473
Mn_deficient,MDM,1.069090909,19.02129246
Mn_deficient,MDM,1.336363636,28.21860213
Mn_deficient,MDM,1.603636364,25.95806853
Mn_deficient,MDM,1.870909091,34.54388003
Mn_deficient,MDM,2.138181818,34.65235732
Mn_deficient,MDM,2.405454545,36.08343136
Mn_deficient,MDM,2.672727273,39.30103153
Mn_deficient,MDM,2.94,41.80882281
Mn_deficient,MDM,3.207272727,43.47154723
Mn_deficient,MDM,3.474545455,43.92136832
Mn_deficient,MDM,3.741818182,45.58700667
Mn_deficient,MDM,4.009090909,44.90082574
Mn_deficient,MDM,4.276363636,47.28761445
Mn_deficient,MDM,4.543636364,48.87800663
Mn_deficient,MDM,4.810909091,52.61494556
Mn_deficient,MDM,5.078181818,53.91013178
Minimal_media,MM,0,0
Minimal_media,MM,0.266521739,1.234180511
Minimal_media,MM,0.533043478,3.643216147
Minimal_media,MM,0.799565217,1.996054019
Minimal_media,MM,1.066086957,4.477211785
Minimal_media,MM,1.332608696,3.088987264
Minimal_media,MM,1.599130435,3.543381294
Minimal_media,MM,1.865652174,4.129472782
Minimal_media,MM,2.132173913,4.474533122
Minimal_media,MM,2.398695652,4.172076083
Minimal_media,MM,2.665217391,4.273883166
Minimal_media,MM,2.93173913,4.330666269
Minimal_media,MM,3.19826087,4.110438968
Minimal_media,MM,3.464782609,5.851076494
Minimal_media,MM,3.731304348,5.602248074
Minimal_media,MM,3.997826087,5.901899387
Minimal_media,MM,4.264347826,5.095328648
Minimal_media,MM,4.530869565,8.002373052
Minimal_media,MM,4.797391304,8.499584724
Minimal_media,MM,5.063913043,9.399237496
Mn_sufficient,MSM,0,0
Mn_sufficient,MSM,0.267073171,8.213036528
Mn_sufficient,MSM,0.534146341,7.990459687
Mn_sufficient,MSM,0.801219512,16.27434376
Mn_sufficient,MSM,1.068292683,28.83601721
Mn_sufficient,MSM,1.335365854,30.71145241
Mn_sufficient,MSM,1.602439024,36.79031757
Mn_sufficient,MSM,1.869512195,44.5576495
Mn_sufficient,MSM,2.136585366,51.1746136
Mn_sufficient,MSM,2.403658537,60.05250458
Mn_sufficient,MSM,2.670731707,65.67223359
Mn_sufficient,MSM,2.937804878,70.86278647
Mn_sufficient,MSM,3.204878049,73.32982717
Mn_sufficient,MSM,3.47195122,78.75727384
Mn_sufficient,MSM,3.73902439,79.8145896
Mn_sufficient,MSM,4.006097561,86.12714233
Mn_sufficient,MSM,4.273170732,91.16667794
Mn_sufficient,MSM,4.540243902,89.37078856
Mn_sufficient,MSM,4.807317073,91.15634067
Mn_sufficient,MSM,5.074390244,94.13619321
