dataset,display_label,time_hours,per_hypha_volume
Mn_deficient,MDM,0,0
Mn_deficient,MDM,0.267272727,19.85159208
Mn_deficient,MDM,0.534545455,52.92958761
Mn_deficient,MDM,0.801818182,64.63751696
Mn_deficient,MDM,1.069090909,77.44420781
Mn_deficient,MDM,1.336363636,115.9337436
Mn_deficient,MDM,1.603636364,131.3713276
Mn_deficient,MDM,1.870909091,185.6213171
Mn_deficient,MDM,2.138181818,184.4008121
Mn_deficient,MDM,2.405454545,205.4933795
Mn_deficient,MDM,2.672727273,225.4936384
Mn_deficient,MDM,2.94,238.9928226
Mn_deficient,MDM,3.207272727,244.1688296
Mn_deficient,MDM,3.474545455,248.245151
Mn_deficient,MDM,3.741818182,259.7193516
Mn_deficient,MDM,4.009090909,272.643664
Mn_deficient,MDM,4.276363636,291.7562453
Mn_deficient,MDM,4.543636364,302.0804218
Mn_deficient,MDM,4.810909091,326.4827063
Mn_deficient,MDM,5.078181818,355.0323025
Minimal_media,MM,0,0
Minimal_media,MM,0.266521739,12.91302002
Minimal_media,MM,0.533043478,33.08191603
Minimal_media,MM,0.799565217,15.79118093
Minimal_media,MM,1.066086957,40.95421904
Minimal_media,MM,1.332608696,21.75951903
Minimal_media,MM,1.599130435,26.53271917
Minimal_media,MM,1.865652174,32.82708382
Minimal_media,MM,2.132173913,34.45105869
Minimal_media,MM,2.398695652,29.31883679
Minimal_media,MM,2.665217391,31.13373095
Minimal_media,MM,2.93173913,32.28945305
Minimal_media,MM,3.19826087,31.74654531
Minimal_media,MM,3.464782609,55.86902721
Minimal_media,MM,3.731304348,50.32190298
Minimal_media,MM,3.997826087,51.04736774
Minimal_media,MM,4.264347826,43.29781127
Minimal_media,MM,4.530869565,86.62368227
Minimal_media,MM,4.797391304,86.99837154
Minimal_media,MM,5.063913043,92.33352709
Mn_sufficient,MSM,0,0
Mn_sufficient,MSM,0.267073171,43.37611992
Mn_sufficient,MSM,0.534146341,45.1075075
Mn_sufficient,MSM,0.801219512,93.59195346
Mn_sufficient,MSM,1.068292683,141.1184566
Mn_sufficient,MSM,1.335365854,179.7340726
Mn_sufficient,MSM,1.602439024,200.3969409
Mn_sufficient,MSM,1.869512195,235.7283975
Mn_sufficient,MSM,2.136585366,253.089313
Mn_sufficient,MSM,2.403658537,301.1001785
Mn_sufficient,MSM,2.670731707,338.2221259
Mn_sufficient,MSM,2.937804878,336.4069011
Mn_sufficient,MSM,3.204878049,350.1481457
Mn_sufficient,MSM,3.47195122,385.5108479
Mn_sufficient,MSM,3.73902439,367.4837948
Mn_sufficient,MSM,4.006097561,424.1110193
Mn_sufficient,MSM,4.273170732,423.4951816
Mn_sufficient,MSM,4.540243902,413.1031084
Mn_sufficient,MSM,4.807317073,446.2264581
Mn_sufficient,MSM,5.074390244,480.0744348
