Frame,No. of tips,No. of branching nodes,No. of apical branch events,No. of lateral branch events
142,0,0,0,0
150,0,0,0,0
158,0,0,0,0
166,1,0,0,0
174,2,0,0,0
182,3,0,0,0
190,4,0,0,0
198,4,0,0,0
206,4,0,0,0
214,4,0,0,0
222,4,0,0,0
230,4,0,0,0
238,4,0,0,0
246,4,0,0,0
254,4,0,0,0
262,4,0,0,0
270,4,0,0,0
278,4,0,0,0
286,4,0,0,0
294,4,0,0,0
302,5,0,0,0
310,6,0,0,0
318,6,0,0,0
326,6,0,0,0
334,6,0,0,0
342,6,0,0,0
350,7,1,0,1
358,7,1,0,1
366,7,1,0,1
374,8,2,0,2
382,8,2,0,2
390,10,3,0,3
398,10,3,0,3
406,10,3,0,3
414,12,5,0,5
422,14,6,0,6
430,14,6,0,6
438,14,6,0,6
