param,direction,baseline_value,perturbed_value,seed,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
MU_MAX,minus5pct,9.99,9.490499999999999,1,5,1,0,57.78530650982286,355.8142730567201,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,3,4,0,0,56.051606110465016,345.1389753979494,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,4,7,3,0,64.14809010667169,394.99325049703424,1.1752907742801282e-13
MU_MAX,minus5pct,9.99,9.490499999999999,5,7,3,0,68.22542129903708,420.099505388602,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,6,8,4,0,63.97311295269951,393.9158248917628,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,7,5,1,0,57.626366827580185,354.835598530049,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,8,7,3,0,62.53796313911482,385.07885891389225,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,9,4,0,0,56.088655055157545,345.3671050751893,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,10,4,0,0,56.05073829779505,345.13363182268847,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,11,4,1,0,58.46870275773398,360.02230021529977,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,12,5,1,0,57.79955828961516,355.9020286986444,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,13,8,4,0,76.52201813267324,471.18597960680347,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,14,4,0,0,56.139692277615126,345.6813678749287,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,15,5,1,0,57.67571646353608,355.13946997945067,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,16,7,3,0,62.34468096045768,383.8887197237156,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,17,4,0,0,56.21566837061761,346.14919230875375,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,18,5,1,0,59.32812678156799,365.31422220650694,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,19,9,5,0,69.56554591427665,428.3513516550197,0.0
MU_MAX,minus5pct,9.99,9.490499999999999,20,4,0,0,55.9594065461127,344.571254588844,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,1,7,3,0,75.25476958830072,463.3828693209482,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,3,5,1,0,64.35892789198525,396.291488714417,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,4,6,2,0,65.75141410887493,404.86575267406016,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,5,9,5,0,79.02088902119388,486.57283108106935,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,6,7,3,0,73.52839595085057,452.75268635688985,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,7,6,2,0,67.91072099183593,418.16173144915825,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,8,10,6,0,75.47182084482503,464.71936712152876,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,9,4,0,0,62.328396981458354,383.7884507712764,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,10,5,1,0,64.18122346912168,395.197269892035,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,11,4,1,0,65.02083225130086,400.3671791047229,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,12,8,4,0,70.91910379133941,436.68591352128607,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,13,6,2,0,76.28129184058089,469.7037022633075,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,14,13,9,0,89.17859507710546,549.119125537319,7.347272908588245e-14
MU_MAX,plus5pct,9.99,10.489500000000001,15,6,2,0,66.49691933431694,409.45621720340455,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,16,10,6,0,85.77326637107079,528.1507404712826,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,17,10,6,0,80.26643621130782,494.2423148093056,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,18,11,7,0,90.00136672592478,554.185359737644,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,19,6,2,0,75.31926309193044,463.77998946267473,0.0
MU_MAX,plus5pct,9.99,10.489500000000001,20,7,3,0,69.72650213703157,429.34244307345426,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,1,4,0,0,59.35763274139316,365.49590579148975,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,3,5,1,0,60.70994722154708,373.82281141443127,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,4,4,0,0,58.64688894230016,361.11948549577215,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,5,4,0,0,59.069104157626555,363.7192848044306,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,6,4,0,0,59.01242572204565,363.37028611302816,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,7,4,0,0,58.96664678422316,363.0884013145137,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,8,4,0,0,59.11200630756629,363.9834557194153,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,9,5,1,0,60.915571006972286,375.08894431487374,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,10,4,0,0,58.87498670794217,362.5240024148609,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,11,3,0,0,59.080623236762335,363.79021378303315,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,12,4,0,0,58.72521286021403,361.6017667122046,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,13,4,0,0,58.60764771690842,360.8778568027714,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,14,5,1,0,59.91943716344625,368.95522865583916,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,15,4,0,0,59.120754265385614,364.0373214586528,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,16,4,0,0,58.742038575658476,361.7053714185067,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,17,5,1,0,60.99531368684575,375.5799615887191,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,18,8,4,0,76.50283827553459,471.06787922216745,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,19,4,0,0,59.140424819454964,364.15844332023914,0.0
PSI_BRANCH,minus5pct,0.97,0.9215,20,5,1,0,64.15455010683601,395.0330280875888,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,1,61,57,0,243.90075808446568,1501.8241864141517,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,3,55,51,0,219.14833176703985,1349.4105866865502,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,4,58,54,0,233.95291101459824,1440.5701031976403,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,5,63,59,0,248.51912125813598,1530.2618574174558,1.2985468252625204e-13
PSI_BRANCH,plus5pct,0.97,1.0185,6,64,60,0,249.98874699244382,1539.3111096218945,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,7,47,43,0,196.5925828408274,1210.5230754458528,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,8,63,59,0,247.98600617611453,1526.9791897840705,7.113643328884608e-14
PSI_BRANCH,plus5pct,0.97,1.0185,9,64,60,0,251.29677196588017,1547.3653016505236,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,10,61,57,0,243.8127936835902,1501.2825437156387,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,11,48,45,0,253.68648723556768,1562.08002504395,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,12,47,43,0,195.27122318130992,1202.3867747996364,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,13,64,60,0,249.05083748125924,1533.5359115469585,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,14,63,59,0,240.81182445967073,1482.8040108953103,2.0155161334737748e-13
PSI_BRANCH,plus5pct,0.97,1.0185,15,64,60,0,253.60112633865623,1561.5544134773338,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,16,62,58,0,246.11416506110385,1515.453287684685,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,17,64,60,0,253.47249595290788,1560.7623690985388,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,18,61,57,0,230.0362237555764,1416.453016795711,1.6895695867644791e-12
PSI_BRANCH,plus5pct,0.97,1.0185,19,64,60,0,253.4794346185725,1560.805094082251,0.0
PSI_BRANCH,plus5pct,0.97,1.0185,20,58,54,0,229.35164176233368,1412.2376883846387,7.15582927424448e-14
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,1,6,2,0,65.36465380971629,363.2420516692548,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,3,5,1,0,61.65147435253439,342.607307267956,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,4,4,0,0,59.61877508176592,331.31126559243523,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,5,7,3,0,70.91324470914674,394.07647707675045,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,6,5,1,0,61.63229998935189,342.50075220163313,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,7,5,1,0,61.42547545211988,341.35139448517674,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,8,6,2,0,63.557050630792816,353.1969057219137,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,9,4,0,0,59.765961074085915,332.12920217912523,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,10,6,2,0,63.52254717275178,353.0051643730649,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,11,4,1,0,62.33389076100374,346.3996066508423,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,12,5,1,0,61.21074557909799,340.1581055272299,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,13,6,2,0,72.29759277156393,401.7695252474123,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,14,8,4,0,67.92411529684011,377.465396972326,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,15,8,4,0,68.68041733436968,381.6682908573547,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,16,7,3,0,66.01805538756275,366.87311090184573,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,17,4,0,0,59.867747617211286,332.69484661541054,0.0
HYPHA_RADIUS_UM,minus5pct,1.4,1.3299999999999998,18,14,10,0,91.4193496703604,508.03224986398595,5.056331570241965e-13
