run_id,sweep_type,varied_param,direction,RNG_SEED,MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
1,param_pm5,MU_MAX,minus5pct,1.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,14,10,0,94.31455054025645,580.7438822436301,0.0
2,param_pm5,MU_MAX,minus5pct,2.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,,,,,,
3,param_pm5,MU_MAX,minus5pct,3.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,83.24315860499439,512.5715472487182,0.0
4,param_pm5,MU_MAX,minus5pct,4.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,76.51062075224729,471.1157999906355,0.0
5,param_pm5,MU_MAX,minus5pct,5.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,14,10,0,92.09241063838373,567.0610077973247,0.0
6,param_pm5,MU_MAX,minus5pct,6.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,67.60737128597526,416.29384908265325,0.0
7,param_pm5,MU_MAX,minus5pct,7.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,78.76241402644834,484.981265717596,0.0
8,param_pm5,MU_MAX,minus5pct,8.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,74.29475227850426,457.47154199850814,0.0
9,param_pm5,MU_MAX,minus5pct,9.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,76.50621358633373,471.08866277132336,0.0
10,param_pm5,MU_MAX,minus5pct,10.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,85.42174940184785,525.9862671401617,0.0
11,param_pm5,MU_MAX,minus5pct,11.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,63.289877824760225,389.70878983289003,0.0
12,param_pm5,MU_MAX,minus5pct,12.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,83.23115262184349,512.4976201481248,0.0
13,param_pm5,MU_MAX,minus5pct,13.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,69.82759041396557,429.96489632228685,0.0
14,param_pm5,MU_MAX,minus5pct,14.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,4,0,0,63.16004005108755,388.9093109368701,0.0
15,param_pm5,MU_MAX,minus5pct,15.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,67.59393213320814,416.2110972091901,0.0
16,param_pm5,MU_MAX,minus5pct,16.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,67.62220203092056,416.38516971501343,0.0
17,param_pm5,MU_MAX,minus5pct,17.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,72.06313659720576,443.73032023570187,0.0
18,param_pm5,MU_MAX,minus5pct,18.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,83.19147375671503,512.2532966789918,0.0
19,param_pm5,MU_MAX,minus5pct,19.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,83.21374024117017,512.3904030380035,0.0
20,param_pm5,MU_MAX,minus5pct,20.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,17,13,0,107.6670649038893,662.9622778658427,0.0
21,param_pm5,MU_MAX,minus5pct,21.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,80.96505259954363,498.54406031070533,0.0
22,param_pm5,MU_MAX,minus5pct,22.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12,8,0,85.42834628535218,526.026887592839,0.0
23,param_pm5,MU_MAX,minus5pct,23.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,63.29467927136353,389.7383548440661,0.0
24,param_pm5,MU_MAX,minus5pct,24.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,92.11051958238826,567.1725140112046,0.0
25,param_pm5,MU_MAX,minus5pct,25.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,8,4,0,72.05280097119906,443.6666783953055,0.0
26,param_pm5,MU_MAX,minus5pct,26.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6,2,0,69.8489773111616,430.0965866037506,0.0
27,param_pm5,MU_MAX,minus5pct,27.0,9.100999999999999,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,89.86677160986456,553.3565874031092,0.0
